st,jew,bed
10A,2.24,0.82
10B,1.24,1.35
10C,1.17,1.06
10F,1.16,1.7
11A,1.64,0.99
11B,1.17,1.28
11C,1.17,1.2
12A,1.38,1.13
12F,1.31,0.81
13,1.32,1.29
15A,1.06,0.96
15BC,1.03,0.91
15F,1.17,1.2
16F,1.49,1.12
17F,3.69,0.84
18A,1.17,1.01
19B,1.39,0.84
19C,1.17,1.2
2,1.17,1.35
20,1.71,1.1
21,1.9,1.03
22F,1.25,0.98
23A,1.3,0.98
23B,2.08,1.05
24A,1.01,0.98
24B,1.17,0.98
24F,1.24,1.03
25A,1.17,1.2
27,1.56,1.02
28A,1.17,1.07
29,1.38,1.36
31,1.97,1.17
33A,1.1,1.13
33B,1.17,1.28
33D,1.17,1.2
33F,1.41,0.73
34,1.13,0.9
35A,0.99,0.98
35B,1.73,0.58
35C,1.17,1.33
35F,0.71,1.6
37,1.01,1.13
38,0.69,1.09
42,1.17,0.93
46,1.18,0.78
6C,0.49,1.16
6D,1.16,0.84
7A,1.16,1.2
7B,4.1,2.44
7C,1.2,1
8,1.66,0.93
9A,1.17,0.78
9L,1.17,0.71
9N,2.61,3.6